nct_id,Type,Value,Action
NCT01088035,Tag,Musella Foundation,Remove
NCT01644773,Tag,Musella Foundation,Remove
NCT02758366,Tag,Musella Foundation,Remove
NCT02120287,Tag,Musella Foundation,Remove
NCT01137682,Tag,Musella Foundation,Remove
NCT01484873,Tag,Musella Foundation,Remove
NCT01805453,Tag,Musella Foundation,Remove
NCT02220127,Tag,Musella Foundation,Remove
NCT02924038,Tag,Musella Foundation,Remove
NCT01434602,Tag,Musella Foundation,Remove
NCT00482677,Tag,Musella Foundation,Remove
NCT02939378,Tag,Musella Foundation,Remove
NCT02715297,Tag,Musella Foundation,Remove
NCT00303849,Tag,Musella Foundation,Remove
NCT02947373,Tag,Musella Foundation,Remove
NCT02953717,Tag,Musella Foundation,Remove
NCT00313599,Tag,Musella Foundation,Remove
NCT01551680,Tag,Musella Foundation,Remove
NCT01535911,Tag,Musella Foundation,Remove
NCT02104310,Tag,Musella Foundation,Remove
NCT01480050,Tag,Musella Foundation,Remove
NCT01301560,Tag,Musella Foundation,Remove
NCT02968940,Tag,Musella Foundation,Remove
NCT02962167,Tag,Musella Foundation,Remove
NCT02743078,Tag,Musella Foundation,Remove
NCT01332630,Tag,Musella Foundation,Remove
NCT00329719,Tag,Musella Foundation,Remove
NCT01368133,Tag,Musella Foundation,Remove
NCT02974803,Tag,Musella Foundation,Remove
NCT01505569,Tag,Musella Foundation,Remove
NCT01140568,Tag,Musella Foundation,Remove
NCT01870726,Tag,Musella Foundation,Remove
NCT02859857,Tag,Musella Foundation,Remove
NCT01410370,Tag,Musella Foundation,Remove
NCT01562197,Tag,Musella Foundation,Remove
NCT02766270,Tag,Musella Foundation,Remove
NCT02725684,Tag,Musella Foundation,Remove
NCT01414738,Tag,Musella Foundation,Remove
NCT01579253,Tag,Musella Foundation,Remove
NCT02798406,Tag,Musella Foundation,Remove
NCT00899834,Tag,Musella Foundation,Remove
NCT01469247,Tag,Musella Foundation,Remove
NCT02466828,Tag,Musella Foundation,Remove
