nct_id,Type,Value,Action
NCT02366819,WF_StoCAN1,Needs Review,Add
NCT02381847,WF_StoCAN1,Needs Review,Add
NCT02393248,WF_StoCAN1,Needs Review,Add
NCT02395705,WF_StoCAN1,Needs Review,Add
NCT02406170,WF_StoCAN1,Needs Review,Add
NCT02423278,WF_StoCAN1,Needs Review,Add
NCT02426879,WF_StoCAN1,Needs Review,Add
NCT02430636,WF_StoCAN1,Needs Review,Add
NCT02430701,WF_StoCAN1,Needs Review,Add
NCT02436395,WF_StoCAN1,Needs Review,Add
NCT02444572,WF_StoCAN1,Needs Review,Add
NCT02448953,WF_StoCAN1,Needs Review,Add
NCT02448979,WF_StoCAN1,Needs Review,Add
NCT02450656,WF_StoCAN1,Needs Review,Add
NCT02461043,WF_StoCAN1,Needs Review,Add
NCT02465060,WF_StoCAN1,Needs Review,Add
NCT02465736,WF_StoCAN1,Needs Review,Add
NCT02486601,WF_StoCAN1,Needs Review,Add
NCT02489201,WF_StoCAN1,Needs Review,Add
NCT02489214,WF_StoCAN1,Needs Review,Add
NCT02500199,WF_StoCAN1,Needs Review,Add
NCT02501603,WF_StoCAN1,Needs Review,Add
NCT02509806,WF_StoCAN1,Needs Review,Add
NCT02510469,WF_StoCAN1,Needs Review,Add
NCT02519140,WF_StoCAN1,Needs Review,Add
NCT02545751,WF_StoCAN1,Needs Review,Add
NCT02555358,WF_StoCAN1,Needs Review,Add
NCT02556762,WF_StoCAN1,Needs Review,Add
NCT02570893,WF_StoCAN1,Needs Review,Add
NCT02571036,WF_StoCAN1,Needs Review,Add
NCT02572050,WF_StoCAN1,Needs Review,Add
NCT02573974,WF_StoCAN1,Needs Review,Add
NCT02578368,WF_StoCAN1,Needs Review,Add
NCT02584244,WF_StoCAN1,Needs Review,Add
NCT02589496,WF_StoCAN1,Needs Review,Add
NCT02595086,WF_StoCAN1,Needs Review,Add
NCT02595320,WF_StoCAN1,Needs Review,Add
NCT02601079,WF_StoCAN1,Needs Review,Add
NCT02604615,WF_StoCAN1,Needs Review,Add
NCT02628665,WF_StoCAN1,Needs Review,Add
NCT02628951,WF_StoCAN1,Needs Review,Add
NCT02638766,WF_StoCAN1,Needs Review,Add
NCT02639065,WF_StoCAN1,Needs Review,Add
NCT02640898,WF_StoCAN1,Needs Review,Add
NCT02641925,WF_StoCAN1,Needs Review,Add
NCT02644408,WF_StoCAN1,Needs Review,Add
NCT02648841,WF_StoCAN1,Needs Review,Add
NCT02653521,WF_StoCAN1,Needs Review,Add
NCT02661971,WF_StoCAN1,Needs Review,Add
NCT02676791,WF_StoCAN1,Needs Review,Add
NCT02679495,WF_StoCAN1,Needs Review,Add
NCT02699606,WF_StoCAN1,Needs Review,Add
NCT02712112,WF_StoCAN1,Needs Review,Add
NCT02716688,WF_StoCAN1,Needs Review,Add
NCT02725125,WF_StoCAN1,Needs Review,Add
NCT02734004,WF_StoCAN1,Needs Review,Add
NCT02735057,WF_StoCAN1,Needs Review,Add
NCT02741856,WF_StoCAN1,Needs Review,Add
NCT02744651,WF_StoCAN1,Needs Review,Add
NCT02748551,WF_StoCAN1,Needs Review,Add
NCT02749513,WF_StoCAN1,Needs Review,Add
NCT02763748,WF_StoCAN1,Needs Review,Add
NCT02773524,WF_StoCAN1,Needs Review,Add
NCT02777801,WF_StoCAN1,Needs Review,Add
NCT02784470,WF_StoCAN1,Needs Review,Add
NCT02795988,WF_StoCAN1,Needs Review,Add
NCT02797405,WF_StoCAN1,Needs Review,Add
NCT02800005,WF_StoCAN1,Needs Review,Add
NCT02813967,WF_StoCAN1,Needs Review,Add
NCT02834013,WF_StoCAN1,Needs Review,Add
NCT02837874,WF_StoCAN1,Needs Review,Add
NCT02845479,WF_StoCAN1,Needs Review,Add
NCT02850172,WF_StoCAN1,Needs Review,Add
NCT02852096,WF_StoCAN1,Needs Review,Add
NCT02853474,WF_StoCAN1,Needs Review,Add
NCT02857218,WF_StoCAN1,Needs Review,Add
NCT02858206,WF_StoCAN1,Needs Review,Add
NCT02859415,WF_StoCAN1,Needs Review,Add
NCT02867839,WF_StoCAN1,Needs Review,Add
NCT02880020,WF_StoCAN1,Needs Review,Add
NCT02890979,WF_StoCAN1,Needs Review,Add
NCT02891083,WF_StoCAN1,Needs Review,Add
NCT02892643,WF_StoCAN1,Needs Review,Add
NCT02901301,WF_StoCAN1,Needs Review,Add
NCT02918162,WF_StoCAN1,Needs Review,Add
NCT02923934,WF_StoCAN1,Needs Review,Add
NCT02924714,WF_StoCAN1,Needs Review,Add
NCT02931890,WF_StoCAN1,Needs Review,Add
NCT02934464,WF_StoCAN1,Needs Review,Add
NCT02935634,WF_StoCAN1,Needs Review,Add
NCT02936193,WF_StoCAN1,Needs Review,Add
NCT02937519,WF_StoCAN1,Needs Review,Add
NCT02942329,WF_StoCAN1,Needs Review,Add
NCT02959385,WF_StoCAN1,Needs Review,Add
NCT02962063,WF_StoCAN1,Needs Review,Add
NCT02965976,WF_StoCAN1,Needs Review,Add
NCT02969122,WF_StoCAN1,Needs Review,Add
NCT02969148,WF_StoCAN1,Needs Review,Add
NCT02970539,WF_StoCAN1,Needs Review,Add
NCT02972372,WF_StoCAN1,Needs Review,Add
NCT02979691,WF_StoCAN1,Needs Review,Add
NCT02988921,WF_StoCAN1,Needs Review,Add
NCT02995850,WF_StoCAN1,Needs Review,Add
NCT02998268,WF_StoCAN1,Needs Review,Add
